GET: lang=en, type=category, id=10, field=name -> res=Breakfast
GET: lang=en, type=category, id=14, field=name -> res=Chops
GET: lang=en, type=category, id=12, field=name -> res=Kofta Dishes
GET: lang=en, type=category, id=13, field=name -> res=Meat Dishes
GET: lang=en, type=category, id=15, field=name -> res=Chicken Dishes
GET: lang=en, type=category, id=16, field=name -> res=Signature Grills
GET: lang=en, type=category, id=11, field=name -> res=Soups
GET: lang=en, type=category, id=17, field=name -> res=Desserts
GET: lang=en, type=category, id=19, field=name -> res=Samovar Tea
GET: lang=en, type=category, id=18, field=name -> res=Beverages
GET: lang=en, type=product, id=12, field=name -> res=Traditional Turkish Breakfast Spread
GET: lang=en, type=product, id=12, field=description -> res=A luxurious breakfast experience featuring 4 types of cheese, a cold cuts platter, assorted olives, honey, butter, 3 varieties of jam, buttery fried eggs, french fries, sausage, traditional Turkish pastry (börek), and unlimited samovar tea.
Service information: 600 TL per person, minimum order for 2 people.
GET: lang=en, type=product, id=12, field=serving_size -> res=For 2 People
GET: lang=en, type=category, id=10, field=name -> res=Breakfast
GET: lang=en, type=allergen, id=4, field=name -> res=NULL
GET: lang=en, type=allergen, id=1, field=name -> res=NULL
GET: lang=en, type=allergen, id=2, field=name -> res=NULL
GET: lang=en, type=allergen, id=3, field=name -> res=NULL
GET: lang=en, type=product, id=13, field=name -> res=Turkish Cheese Fondue
GET: lang=en, type=product, id=13, field=description -> res=A warm and stretchy regional delicacy made with butter, special cheese, and corn flour.
GET: lang=en, type=product, id=13, field=serving_size -> res=NULL
GET: lang=en, type=category, id=10, field=name -> res=Breakfast
GET: lang=en, type=allergen, id=6, field=name -> res=NULL
GET: lang=en, type=allergen, id=7, field=name -> res=NULL
GET: lang=en, type=allergen, id=2, field=name -> res=NULL
GET: lang=en, type=product, id=15, field=name -> res=Traditional Turkish Scrambled Eggs
GET: lang=en, type=product, id=15, field=description -> res=A traditional dish prepared with tomatoes, green peppers, and eggs, served hot.
GET: lang=en, type=product, id=15, field=serving_size -> res=NULL
GET: lang=en, type=category, id=10, field=name -> res=Breakfast
GET: lang=en, type=allergen, id=2, field=name -> res=NULL
GET: lang=en, type=allergen, id=3, field=name -> res=NULL
GET: lang=en, type=product, id=14, field=name -> res=Turkish Sausage with Eggs
GET: lang=en, type=product, id=14, field=description -> res=A breakfast classic prepared with pan-fried eggs and savory slices of Turkish garlic sausage (sucuk).
GET: lang=en, type=product, id=14, field=serving_size -> res=NULL
GET: lang=en, type=category, id=10, field=name -> res=Breakfast
GET: lang=en, type=allergen, id=5, field=name -> res=NULL
GET: lang=en, type=allergen, id=2, field=name -> res=NULL
